,Long/Short,Short/Long,Flat
0,0.9278361201286316,0.6844703555107117,0.7067152261734009
1,1.1019175052642822,0.8365322947502136,0.841063380241394
2,1.2189449071884155,0.9474527835845947,0.9452970623970032
3,1.2756394147872925,1.0113605260849,1.015835165977478
4,1.3099336624145508,1.0521003007888794,1.0695313215255737
5,1.3366917371749878,1.082694411277771,1.1050076484680176
6,1.3578280210494995,1.1100858449935913,1.1340761184692383
7,1.3636924028396606,1.1307095289230347,1.1513607501983643
8,1.3654314279556274,1.146898865699768,1.1636555194854736
9,1.3662203550338745,1.160709023475647,1.1744604110717773
10,1.3669203519821167,1.172739863395691,1.18406081199646
11,1.367322325706482,1.1837916374206543,1.193199872970581
12,1.3659403324127197,1.1931965351104736,1.2003741264343262
13,1.3638315200805664,1.2019543647766113,1.2072336673736572
14,1.3617225885391235,1.210713267326355,1.2140929698944092
15,1.3596135377883911,1.2194713354110718,1.2209525108337402
16,1.3575043678283691,1.2282295227050781,1.2278122901916504
17,1.3553954362869263,1.2369883060455322,1.2346711158752441
18,1.3532860279083252,1.2457462549209595,1.241530418395996
19,1.3511773347854614,1.2545050382614136,1.2483892440795898
20,1.3490684032440186,1.26326322555542,1.255249261856079
21,1.3469594717025757,1.2720215320587158,1.2621080875396729
22,1.3448504209518433,1.2807798385620117,1.268967866897583
23,1.3427414894104004,1.2895382642745972,1.275827169418335
24,1.340632438659668,1.2982966899871826,1.282686710357666
25,1.3385237455368042,1.3070552349090576,1.2895455360412598
26,1.3364143371582031,1.3158135414123535,1.2964048385620117
27,1.3343052864074707,1.3245717287063599,1.3032643795013428
28,1.3321962356567383,1.3333302736282349,1.3101239204406738
29,1.3300873041152954,1.3420886993408203,1.3169822692871094
30,1.3279787302017212,1.3508461713790894,1.3238425254821777
31,1.3258696794509888,1.3596051931381226,1.3307015895843506
32,1.3237603902816772,1.368363857269287,1.3375613689422607
33,1.3216511011123657,1.3771214485168457,1.3444206714630127
34,1.3195428848266602,1.385880708694458,1.3512797355651855
35,1.3174337148666382,1.394639015197754,1.3581387996673584
36,1.3153247833251953,1.4033970832824707,1.3649985790252686
37,1.3132153749465942,1.4121553897857666,1.3718581199645996
38,1.3111062049865723,1.4209136962890625,1.3787171840667725
39,1.3089967966079712,1.4296717643737793,1.3855767250061035
40,1.306888461112976,1.4384305477142334,1.3924360275268555
41,1.3047794103622437,1.4471888542175293,1.3992953300476074
42,1.3026705980300903,1.4559465646743774,1.4061548709869385
43,1.300561547279358,1.4647055864334106,1.4130139350891113
44,1.2984522581100464,1.473463773727417,1.4198732376098633
45,1.296343207359314,1.482222318649292,1.4267327785491943
46,1.294234037399292,1.4909805059432983,1.4335923194885254
47,1.2921251058578491,1.4997388124465942,1.4404516220092773
48,1.2900161743164062,1.5084971189498901,1.447310447692871
49,1.287907361984253,1.517256498336792,1.4541699886322021
50,1.28579843044281,1.5260134935379028,1.461029052734375
51,1.2836893796920776,1.5347716808319092,1.467888355255127
52,1.2815802097320557,1.5435309410095215,1.4747486114501953
53,1.2794705629348755,1.5522880554199219,1.48160719871521
54,1.27736234664917,1.5610464811325073,1.4884669780731201
55,1.2752532958984375,1.5698049068450928,1.4953255653381348
56,1.2731436491012573,1.5785644054412842,1.502185344696045
57,1.2710356712341309,1.5873222351074219,1.5090441703796387
58,1.2689265012741089,1.5960811376571655,1.5159046649932861
59,1.2668170928955078,1.6048393249511719,1.5227632522583008
60,1.2647079229354858,1.6135979890823364,1.5296225547790527
61,1.2625991106033325,1.6223554611206055,1.5364813804626465
62,1.2604906558990479,1.6311147212982178,1.5433413982391357
